"Year","Quarter ID","Quarter","Month ID","Month","Day","Time ID","Time","Nation ID","Nation","State ID","State","Municipality ID","Municipality","Accum Cases","Daily Cases","AVG 7 Days Accum Cases","AVG 7 Days Daily Cases","Rate Daily Cases","Rate Accum Cases","Days from 50 Cases","Style"
2020,1,"Q1",3,"2020-03",18,20200318,"2020-03-18","mex","México",19,"Nuevo León",19009,"Cadereyta Jiménez",0,0,0,0,0,0,0,"solid"
2020,1,"Q1",3,"2020-03",18,20200318,"2020-03-18","mex","México",19,"Nuevo León",19018,"García",0,0,0,0,0,0,0,"solid"
2020,1,"Q1",3,"2020-03",18,20200318,"2020-03-18","mex","México",19,"Nuevo León",19019,"San Pedro Garza García",26,7,14,3,5.086691856384277,18.8934268951416,0,"solid"
2020,1,"Q1",3,"2020-03",18,20200318,"2020-03-18","mex","México",19,"Nuevo León",19021,"General Escobedo",2,1,1.1428571939468384,0.2857142984867096,0.21444271504878998,0.42888543009757996,0,"solid"
2020,1,"Q1",3,"2020-03",18,20200318,"2020-03-18","mex","México",19,"Nuevo León",19026,"Guadalupe",4,0,1.8571428060531616,0.4285714328289032,0,0.563052773475647,0,"solid"
2020,1,"Q1",3,"2020-03",18,20200318,"2020-03-18","mex","México",19,"Nuevo León",19031,"Juárez",1,0,1,0,0,0.25197547674179077,0,"solid"
2020,1,"Q1",3,"2020-03",18,20200318,"2020-03-18","mex","México",19,"Nuevo León",19039,"Monterrey",9,2,5.285714149475098,1.1428571939468384,0.1778038591146469,0.8001173734664917,0,"solid"
2020,1,"Q1",3,"2020-03",18,20200318,"2020-03-18","mex","México",19,"Nuevo León",19046,"San Nicolás de los Garza",4,2,2.142857074737549,0.4285714328289032,0.42179587483406067,0.8435917496681213,0,"solid"
2020,1,"Q1",3,"2020-03",18,20200318,"2020-03-18","mex","México",19,"Nuevo León",19048,"Santa Catarina",0,0,0,0,0,0,0,"solid"
2020,1,"Q1",3,"2020-03",18,20200318,"2020-03-18","mex","México",19,"Nuevo León",19049,"Santiago",0,0,0,0,0,0,0,"solid"
2020,1,"Q1",3,"2020-03",19,20200319,"2020-03-19","mex","México",19,"Nuevo León",19009,"Cadereyta Jiménez",0,0,0,0,0,0,0,"solid"
2020,1,"Q1",3,"2020-03",19,20200319,"2020-03-19","mex","México",19,"Nuevo León",19018,"García",0,0,0,0,0,0,0,"solid"
2020,1,"Q1",3,"2020-03",19,20200319,"2020-03-19","mex","México",19,"Nuevo León",19019,"San Pedro Garza García",28,2,17.285715103149414,3.2857143878936768,1.4533405303955078,20.34676742553711,0,"solid"
2020,1,"Q1",3,"2020-03",19,20200319,"2020-03-19","mex","México",19,"Nuevo León",19021,"General Escobedo",2,0,1.2857142686843872,0.1428571492433548,0,0.42888543009757996,0,"solid"
2020,1,"Q1",3,"2020-03",19,20200319,"2020-03-19","mex","México",19,"Nuevo León",19026,"Guadalupe",4,0,2.2857143878936768,0.4285714328289032,0,0.563052773475647,0,"solid"
2020,1,"Q1",3,"2020-03",19,20200319,"2020-03-19","mex","México",19,"Nuevo León",19031,"Juárez",1,0,1,0,0,0.25197547674179077,0,"solid"
2020,1,"Q1",3,"2020-03",19,20200319,"2020-03-19","mex","México",19,"Nuevo León",19039,"Monterrey",11,2,6.714285850524902,1.4285714626312256,0.1778038591146469,0.977921187877655,0,"solid"
2020,1,"Q1",3,"2020-03",19,20200319,"2020-03-19","mex","México",19,"Nuevo León",19046,"San Nicolás de los Garza",4,0,2.5714285373687744,0.4285714328289032,0,0.8435917496681213,0,"solid"
2020,1,"Q1",3,"2020-03",19,20200319,"2020-03-19","mex","México",19,"Nuevo León",19048,"Santa Catarina",0,0,0,0,0,0,0,"solid"
2020,1,"Q1",3,"2020-03",19,20200319,"2020-03-19","mex","México",19,"Nuevo León",19049,"Santiago",0,0,0,0,0,0,0,"solid"
2020,1,"Q1",3,"2020-03",20,20200320,"2020-03-20","mex","México",19,"Nuevo León",19009,"Cadereyta Jiménez",0,0,0,0,0,0,0,"solid"
2020,1,"Q1",3,"2020-03",20,20200320,"2020-03-20","mex","México",19,"Nuevo León",19018,"García",0,0,0,0,0,0,0,"solid"
2020,1,"Q1",3,"2020-03",20,20200320,"2020-03-20","mex","México",19,"Nuevo León",19019,"San Pedro Garza García",36,8,21.285715103149414,4,5.813362121582031,26.16012954711914,0,"solid"
2020,1,"Q1",3,"2020-03",20,20200320,"2020-03-20","mex","México",19,"Nuevo León",19021,"General Escobedo",2,0,1.4285714626312256,0.1428571492433548,0,0.42888543009757996,0,"solid"
2020,1,"Q1",3,"2020-03",20,20200320,"2020-03-20","mex","México",19,"Nuevo León",19026,"Guadalupe",5,1,2.857142925262451,0.5714285969734192,0.14076319336891174,0.7038159370422363,0,"solid"
2020,1,"Q1",3,"2020-03",20,20200320,"2020-03-20","mex","México",19,"Nuevo León",19031,"Juárez",1,0,1,0,0,0.25197547674179077,0,"solid"
2020,1,"Q1",3,"2020-03",20,20200320,"2020-03-20","mex","México",19,"Nuevo León",19039,"Monterrey",14,3,8.285714149475098,1.5714285373687744,0.26670578122138977,1.2446269989013672,0,"solid"
2020,1,"Q1",3,"2020-03",20,20200320,"2020-03-20","mex","México",19,"Nuevo León",19046,"San Nicolás de los Garza",4,0,2.857142925262451,0.2857142984867096,0,0.8435917496681213,0,"solid"
2020,1,"Q1",3,"2020-03",20,20200320,"2020-03-20","mex","México",19,"Nuevo León",19048,"Santa Catarina",0,0,0,0,0,0,0,"solid"
2020,1,"Q1",3,"2020-03",20,20200320,"2020-03-20","mex","México",19,"Nuevo León",19049,"Santiago",0,0,0,0,0,0,0,"solid"
2020,1,"Q1",3,"2020-03",21,20200321,"2020-03-21","mex","México",19,"Nuevo León",19009,"Cadereyta Jiménez",0,0,0,0,0,0,0,"solid"
2020,1,"Q1",3,"2020-03",21,20200321,"2020-03-21","mex","México",19,"Nuevo León",19018,"García",0,0,0,0,0,0,0,"solid"
2020,1,"Q1",3,"2020-03",21,20200321,"2020-03-21","mex","México",19,"Nuevo León",19019,"San Pedro Garza García",36,0,24.714284896850586,3.4285714626312256,0,26.16012954711914,0,"solid"
2020,1,"Q1",3,"2020-03",21,20200321,"2020-03-21","mex","México",19,"Nuevo León",19021,"General Escobedo",2,0,1.5714285373687744,0.1428571492433548,0,0.42888543009757996,0,"solid"
2020,1,"Q1",3,"2020-03",21,20200321,"2020-03-21","mex","México",19,"Nuevo León",19026,"Guadalupe",5,0,3.4285714626312256,0.5714285969734192,0,0.7038159370422363,0,"solid"
2020,1,"Q1",3,"2020-03",21,20200321,"2020-03-21","mex","México",19,"Nuevo León",19031,"Juárez",1,0,1,0,0,0.25197547674179077,0,"solid"
2020,1,"Q1",3,"2020-03",21,20200321,"2020-03-21","mex","México",19,"Nuevo León",19039,"Monterrey",18,4,10.142857551574707,1.8571428060531616,0.3556077182292938,1.6002347469329834,0,"solid"
2020,1,"Q1",3,"2020-03",21,20200321,"2020-03-21","mex","México",19,"Nuevo León",19046,"San Nicolás de los Garza",4,0,3.142857074737549,0.2857142984867096,0,0.8435917496681213,0,"solid"
2020,1,"Q1",3,"2020-03",21,20200321,"2020-03-21","mex","México",19,"Nuevo León",19048,"Santa Catarina",0,0,0,0,0,0,0,"solid"
2020,1,"Q1",3,"2020-03",21,20200321,"2020-03-21","mex","México",19,"Nuevo León",19049,"Santiago",0,0,0,0,0,0,0,"solid"
2020,1,"Q1",3,"2020-03",22,20200322,"2020-03-22","mex","México",19,"Nuevo León",19009,"Cadereyta Jiménez",0,0,0,0,0,0,0,"solid"
2020,1,"Q1",3,"2020-03",22,20200322,"2020-03-22","mex","México",19,"Nuevo León",19018,"García",0,0,0,0,0,0,0,"solid"
2020,1,"Q1",3,"2020-03",22,20200322,"2020-03-22","mex","México",19,"Nuevo León",19019,"San Pedro Garza García",37,1,28.285715103149414,3.5714285373687744,0.7266702651977539,26.886798858642578,0,"solid"
2020,1,"Q1",3,"2020-03",22,20200322,"2020-03-22","mex","México",19,"Nuevo León",19021,"General Escobedo",2,0,1.7142857313156128,0.1428571492433548,0,0.42888543009757996,0,"solid"
2020,1,"Q1",3,"2020-03",22,20200322,"2020-03-22","mex","México",19,"Nuevo León",19026,"Guadalupe",5,0,4,0.5714285969734192,0,0.7038159370422363,0,"solid"
2020,1,"Q1",3,"2020-03",22,20200322,"2020-03-22","mex","México",19,"Nuevo León",19031,"Juárez",1,0,1,0,0,0.25197547674179077,0,"solid"
2020,1,"Q1",3,"2020-03",22,20200322,"2020-03-22","mex","México",19,"Nuevo León",19039,"Monterrey",20,2,12.285714149475098,2.142857074737549,0.1778038591146469,1.778038501739502,0,"solid"
2020,1,"Q1",3,"2020-03",22,20200322,"2020-03-22","mex","México",19,"Nuevo León",19046,"San Nicolás de los Garza",5,1,3.5714285373687744,0.4285714328289032,0.21089793741703033,1.0544897317886353,0,"solid"
2020,1,"Q1",3,"2020-03",22,20200322,"2020-03-22","mex","México",19,"Nuevo León",19048,"Santa Catarina",0,0,0,0,0,0,0,"solid"
2020,1,"Q1",3,"2020-03",22,20200322,"2020-03-22","mex","México",19,"Nuevo León",19049,"Santiago",0,0,0,0,0,0,0,"solid"
2020,1,"Q1",3,"2020-03",23,20200323,"2020-03-23","mex","México",19,"Nuevo León",19009,"Cadereyta Jiménez",0,0,0,0,0,0,0,"solid"
2020,1,"Q1",3,"2020-03",23,20200323,"2020-03-23","mex","México",19,"Nuevo León",19018,"García",0,0,0,0,0,0,0,"solid"
2020,1,"Q1",3,"2020-03",23,20200323,"2020-03-23","mex","México",19,"Nuevo León",19019,"San Pedro Garza García",38,1,31.428571701049805,3.142857074737549,0.7266702651977539,27.61347007751465,0,"solid"
2020,1,"Q1",3,"2020-03",23,20200323,"2020-03-23","mex","México",19,"Nuevo León",19021,"General Escobedo",2,0,1.8571428060531616,0.1428571492433548,0,0.42888543009757996,0,"solid"
2020,1,"Q1",3,"2020-03",23,20200323,"2020-03-23","mex","México",19,"Nuevo León",19026,"Guadalupe",8,3,5,1,0.42228958010673523,1.126105546951294,0,"solid"
2020,1,"Q1",3,"2020-03",23,20200323,"2020-03-23","mex","México",19,"Nuevo León",19031,"Juárez",1,0,1,0,0,0.25197547674179077,0,"solid"
2020,1,"Q1",3,"2020-03",23,20200323,"2020-03-23","mex","México",19,"Nuevo León",19039,"Monterrey",21,1,14.285714149475098,2,0.08890192955732346,1.8669404983520508,0,"solid"
2020,1,"Q1",3,"2020-03",23,20200323,"2020-03-23","mex","México",19,"Nuevo León",19046,"San Nicolás de los Garza",5,0,4,0.4285714328289032,0,1.0544897317886353,0,"solid"
2020,1,"Q1",3,"2020-03",23,20200323,"2020-03-23","mex","México",19,"Nuevo León",19048,"Santa Catarina",0,0,0,0,0,0,0,"solid"
2020,1,"Q1",3,"2020-03",23,20200323,"2020-03-23","mex","México",19,"Nuevo León",19049,"Santiago",0,0,0,0,0,0,0,"solid"
2020,1,"Q1",3,"2020-03",24,20200324,"2020-03-24","mex","México",19,"Nuevo León",19009,"Cadereyta Jiménez",0,0,0,0,0,0,0,"solid"
2020,1,"Q1",3,"2020-03",24,20200324,"2020-03-24","mex","México",19,"Nuevo León",19018,"García",0,0,0,0,0,0,0,"solid"
